"Reference","Value","Cost ","Qty","total cost","Footprint","source link","another link","Description"
"C4","10uF","2","1","","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","https://makerselectronics.com/product/capacitor-10uf-160v/","","Polarized capacitor, small symbol"
"C34","10uF X5R/X7R","2.5","1","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://makerselectronics.com/product/multilayer-ceramic-capacitors-mlcc-smd-smt-10uf-50v-x5r-%c2%b110-1206/","","Unpolarized capacitor, small symbol"
"C47","DP","-","1","","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","-","","Unpolarized capacitor, small symbol"
"C1,C2","470uF","7","2","","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm","https://makerselectronics.com/product/capacitor-470uf-100v/","","Polarized capacitor, small symbol"
"C17,C53","22uF","2.75","2","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","https://makerselectronics.com/product/capacitor-22uf-250v/","","Polarized capacitor, small symbol"
"C22,C24,C25,C26,C30,C41","10nF",".5","6","","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","https://makerselectronics.com/product/ceramic-capacitor-10nf-50v/","","Unpolarized capacitor, small symbol"
"C3,C5","100uF","8.5","2","","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","https://makerselectronics.com/product/capacitor-100uf-160v/","","Polarized capacitor, small symbol"
"C36,C37,C38","680nF","3.25","3","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://makerselectronics.com/product/multilayer-ceramic-capacitors-mlcc-smd-smt-680nf-%c2%b110-50v-1206/","","Unpolarized capacitor, small symbol"
"C6,C7","1uF","1.5","2","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://makerselectronics.com/product/multilayer-ceramic-capacitors-mlcc-smd-smt-1uf-%c2%b110-50v-x7r-1206/","","Unpolarized capacitor, small symbol"
"C8,C9,C10,C20,C23,C27,C28,C29,C31,C32,C33,C35,C39,C40,C42,C50,C54,C55","100nF","1.25","18","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://makerselectronics.com/product/multilayer-ceramic-capacitors-mlcc-smd-smt-100nf-%c2%b110-100v-x7r-1206/","","Unpolarized capacitor, small symbol"
"D1","P6KE56A","2","1","","Diode_THT:D_DO-15_P10.16mm_Horizontal","https://makerselectronics.com/product/esd-suppressors-tvs-diodes-600w-56v-uni-directional-p6ke56a-e3-73/","","1500W unidirectional TRANSZORB® Transient Voltage Suppressor, DO-201AE"
"D2","P6KE24A","2","1","","Diode_THT:D_DO-15_P10.16mm_Horizontal","https://makerselectronics.com/product/esd-suppressors-tvs-diodes-600w-24v-uni-directional-p6ke24a-e3-73/","","1500W unidirectional TRANSZORB® Transient Voltage Suppressor, DO-201AE"
"D10,D11,D12,D13,D14,D15","US2MA","1.5","6","","Diode_SMD:D_SMA","https://makerselectronics.com/product/us2m-sma-diodes-fast-recovery-rectifier-smd-1-65v2a-75ns-single-2a-1kv/","","1000V, 1.5A, General Purpose Rectifier Diode, SMA(DO-214AC)"
"D3,D16,D17,D18,D19,D20","DP","1","6","","Diode_THT:D_A-405_P7.62mm_Horizontal","https://makerselectronics.com/product/diodes-fast-recovery-rectifier-uf4007-1-7v1a-75ns-1a-1kv-do-41/","https://makerselectronics.com/product/diodes-fast-recovery-rectifier-uf4007-1-7v1a-75ns-1a-1kv-do-41/","Diode"
"D4,D6,D23","LED",".8","3","","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://makerselectronics.com/product/smd-led-blue-1206/","","Light emitting diode"
"D7,D21,D22,D24,D25,D26,D27","BAT54S","1.5","7","","Package_TO_SOT_SMD:SOT-23","https://makerselectronics.com/product/bat54s-kl4-30v-dual-1v100ma-100ma-sot-23-schottky-barrier-diodes-sbd-smd/","","Vr 30V, If 200mA, Dual schottky barrier diode, in series, SOT-323"
"F1","12V/1.5A","","1","","Fuse:Fuse_2512_6332Metric","https://makerselectronics.com/product/smd-fuse-fast-blow-250v-1a-wt-2410-1a/ & https://makerselectronics.com/product/smd-fuse-holders-2410-c3133/","","Resettable fuse 750mA"
"FB1,FB2","100Ω @ 100MHz",".75","2","","Inductor_SMD:L_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://makerselectronics.com/product/ferrite-beads-1206-100%cf%89-100mhz-1a-1-250m%cf%89/","","Ferrite bead, small symbol"
"H1,H2,H3,H4,H5,H6,H7,H8","MountingHole_Pad","-","8","","MountingHole:MountingHole_2.5mm_Pad_Via","-","","Mounting Hole with connection"
"J1","HC-05","-","1","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","-","","Generic connector, single row, 01x06, script generated"
"J3","Input_Power","3.5","1","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","https://makerselectronics.com/product/kf126-5-0-2p-green-terminal-block/","","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J4","motor conn","-","1","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","-","","Generic connector, single row, 01x03, script generated"
"J5","Encoder","5","1","","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","https://makerselectronics.com/product/pin-headers-female-2-54mm-40-pin/","","Generic connector, single row, 01x09, script generated"
"J6","12V IN","5","1","","Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal","https://makerselectronics.com/product/terminal-block-kf2edgr-5-08-2p/","","Generic connector, single row, 01x02, script generated"
"J7","Throttle","-","1","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","-","","Generic connector, single row, 01x03, script generated"
"J9","Conn_01x11_Pin","17","1","","Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Horizontal","https://uge-one.com/product/pin-header-female-1x40-right-angle-2-54mm/","","Generic connector, single row, 01x11, script generated"
"J10","Conn_01x11_Pin","8","1","","Connector_PinSocket_2.54mm:PinSocket_1x11_P2.54mm_Horizontal","https://uge-one.com/product/pin-header-male-1x40-right-angle-2-54mm/","","Generic connector, single row, 01x11, script generated"
"J12","fan conn",".4","1","","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical","https://makerselectronics.com/product/b2b-xh-a-jst-xh-2-pin-header-2-5mm/","","Generic connector, single row, 01x02, script generated"
"J15","W","-","1","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","-","","Generic connector, single row, 01x01, script generated"
"J16","U","3.5","1","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","https://makerselectronics.com/product/pin-headers-male-2-54mm-40-pin-straight-red-11mm/","","Generic connector, single row, 01x01, script generated"
"J17","V","3.5","1","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","https://makerselectronics.com/product/pin-headers-male-2-54mm-40-pin-straight-red-11mm/","","Generic connector, single row, 01x01, script generated"
"J2,J11","Leftstm","-,5","2","","Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical","-,https://makerselectronics.com/product/pin-headers-female-2-54mm-40-pin/","","Generic connector, single row, 01x20, script generated"
"Q1,Q2,Q3,Q4,Q5,Q6","SFP041N",".86$","6","","4ms_Package_TO:TO-220-3_Vertical","https://www.lcsc.com/product-detail/C49257102.html?s_z=n_SFP041","alternative : https://www.lcsc.com/product-detail/C49257104.html?s_z=n_SFP0",""
"R20","1k",".15","1","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","https://makerselectronics.com/product/carbon-resistor-1k%cf%89-0-25w-through-hole/","","Resistor, small symbol"
"R25","330R",".15","1","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","https://makerselectronics.com/product/carbon-resistor-330%cf%89-0-25w-through-hole/","","Resistor, small symbol"
"R11,R12","51R",".2","2","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://makerselectronics.com/product/chip-resistor-smd-51%cf%89-%c2%b15-0-125w-%c2%b1100ppm-%e2%84%83-0805/","","Resistor, small symbol"
"R16,R21,R22,R27,R28,R29,R31,R48,R49,R55,R56,R57,R58,R59,R60,R61,R62,R63","10R",".65","18","","Resistor_SMD:R_1210_3225Metric_Pad1.30x2.65mm_HandSolder","https://makerselectronics.com/product/chip-resistor-smd-10%cf%89-%c2%b15-0-5w-%c2%b1100ppm-%e2%84%83-1210/","","Resistor, small symbol"
"R17,R18,R26,R30,R32,R33","NA",".65","6","","Resistor_SMD:R_1210_3225Metric_Pad1.30x2.65mm_HandSolder","https://makerselectronics.com/product/chip-resistor-smd-10%cf%89-%c2%b15-0-5w-%c2%b1100ppm-%e2%84%83-1210/","","Resistor, small symbol"
"R19,R51,R52,R53","4k7",".2","4","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://makerselectronics.com/product/chip-resistor-smd-4-7k%cf%89-%c2%b15-250mw-1206/","","Resistor, small symbol"
"R36,R37,R38","220k",".15","3","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","https://makerselectronics.com/product/carbon-resistor-220k%cf%89-0-25w-through-hole/","","Resistor, small symbol"
"R39,R40,R41","47k",".15","3","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","https://makerselectronics.com/product/2pcs-carbon-resistor-47k%cf%89-0-25w-through-hole/","","Resistor, small symbol"
"R8,R13","1m","10","2","","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","https://uge-one.com/product/2512-smd-alloy-power-shunt-resistors-1w-6-4x3-2mm-0-001-ohm-smd-marking-r001/","","Resistor, small symbol"
"R9,R10,R42,R43,R44,R45,R46,R47","10k",".2","8","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://makerselectronics.com/product/chip-resistor-smd-250mw-200v-%c2%b15-%c2%b1100ppm-%e2%84%83-55%e2%84%83155%e2%84%83-10k%cf%89-1206/","","Resistor, small symbol"
"SW5","SW_DPST","3.5","1","","Button_Switch_THT:SW_Slide_SPDT_Straight_CK_OS102011MS2Q","https://makerselectronics.com/product/slide-switch-right-angle-spdt-50v-0-5a-plugin-for-pcb/","","Single Pole Single Throw (SPST) switch, separate symbol"
"TH2","Thermistor_NTC","2.75","1","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","https://makerselectronics.com/product/ntc-thermistor-10k-%c2%b15-3950k-p1-7mm-mf52a103j3950/","","Temperature dependent resistor, negative temperature coefficient"
"TP1,TP2,TP3,TP4,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP19,TP20,TP21,TP22,TP23,TP24,TP25","TestPoint","-","21","","SparkFun-Connector:TestPoint-1.0mm","-","","test point"
"TP31,TP32,TP33","Wire","-","3","","TestPoint:TestPoint_Loop_D3.80mm_Drill2.0mm","-","","test point"
"U1","LMV324",".11$","1","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","https://www.lcsc.com/product-detail/C7974.html?s_z=n_lmv324","","Quad Low-Voltage Rail-to-Rail Output Operational Amplifier, SOIC-14/SSOP-14"
"U2","DRV8300UD",".54$","1","","Controller V2:SOP65P640X120-20N","https://www.lcsc.com/product-detail/C3036056.html?s_z=n_drv8300","","Brushless DC motor controller, closed loop, hall sensor inputs, current limiting, SPI interface"
"U3","MP1584EN","45","1","","Controller V2:SOP65P640X120-20N","https://makerselectronics.com/product/mp1584en-mini-dc-dc-buck-step-down-module-4-5v-28v-input/","",""
"U5,U6","INA240A2D","","2","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.lcsc.com/product-detail/C2060768.html?s_z=n_ina240a2","","High- and Low-Side, Bidirectional, Zero-Drift, Current-Sense Amplifier With Enhanced PWM Rejection, 50V/V, SOIC-8"
